Genes	Transcript_Length	GC_Content
13677	ENSG00000125347	5153	53.85
17580	ENSG00000125351	2378	42.87
17803	ENSG00000125352	1353	54.55
7517	ENSG00000125354	4694	47.21
11937	ENSG00000125355	3425	43.2
17795	ENSG00000125356	766	43.57
13836	ENSG00000125375	10212	40.64
16020	ENSG00000125384	2383	42.19
8503	ENSG00000125386	4885	45.62
16783	ENSG00000125388	2202	46.38
16814	ENSG00000125398	3935	53.34
16266	ENSG00000125430	5367	45.99
6543	ENSG00000125434	2785	55.32
4471	ENSG00000125445	1717	50.49
7150	ENSG00000125447	5156	51.82
2779	ENSG00000125449	2126	51.99
3447	ENSG00000125450	2233	48.14
4965	ENSG00000125454	2331	50.68
9158	ENSG00000125457	1531	55.74
2789	ENSG00000125458	1315	65.69
5301	ENSG00000125459	2490	52.49
11601	ENSG00000125462	4774	51.53
12531	ENSG00000125482	3052	44.83
17847	ENSG00000125484	9043	42.28
9541	ENSG00000125485	4577	44.73
4688	ENSG00000125498	1596	48.32
6953	ENSG00000125503	4141	57.6
11541	ENSG00000125505	3039	55.03
10242	ENSG00000125510	3369	60.16
11965	ENSG00000125520	1731	69.47
13363	ENSG00000125531	2954	61.83
3485	ENSG00000125534	868	71.07
7537	ENSG00000125538	1631	45.41
18087	ENSG00000125551	2077	39.78
11386	ENSG00000125611	3272	53.69
17193	ENSG00000125618	4152	49.16
2477	ENSG00000125629	3185	37.96
14364	ENSG00000125630	5059	42.17
6360	ENSG00000125633	6899	42.78
17016	ENSG00000125637	11234	51.01
11767	ENSG00000125648	3425	52.6
9860	ENSG00000125650	3911	58.35
10787	ENSG00000125651	2731	54.75
6810	ENSG00000125652	1332	64.35
7367	ENSG00000125656	1346	54.15
6272	ENSG00000125657	1665	59.21
7854	ENSG00000125676	5609	38.09
3780	ENSG00000125686	5844	45.01
12285	ENSG00000125691	3081	44.44
14070	ENSG00000125695	2128	44.94
1588	ENSG00000125703	2938	35.44
9365	ENSG00000125726	913	48.3
3486	ENSG00000125730	5263	51.26
6931	ENSG00000125731	3493	51.86
162	ENSG00000125733	2249	54.02
6206	ENSG00000125734	2057	60.38
4433	ENSG00000125735	4336	51.37
4207	ENSG00000125740	3775	57.58
2025	ENSG00000125741	7828	49.78
237	ENSG00000125743	901	52.25
3082	ENSG00000125744	2357	54.15
4087	ENSG00000125746	2791	52.69
2251	ENSG00000125753	2305	54.67
13364	ENSG00000125755	6537	51.56
5626	ENSG00000125772	6649	39.24
12838	ENSG00000125775	1550	50.43
1248	ENSG00000125779	5127	45.01
18194	ENSG00000125780	2642	47.92
7075	ENSG00000125810	6708	51.42
5422	ENSG00000125812	4835	44.84
7226	ENSG00000125814	3883	40.72
6181	ENSG00000125817	2840	66.2
18095	ENSG00000125818	4290	45.44
6770	ENSG00000125821	4112	43.11
13714	ENSG00000125826	2774	51.12
793	ENSG00000125827	6169	37.75
16846	ENSG00000125834	6685	48.13
7377	ENSG00000125835	1154	46.19
8173	ENSG00000125841	2088	51.94
2475	ENSG00000125843	5362	51.08
1793	ENSG00000125844	5041	52.51
5999	ENSG00000125845	3601	43.78
16079	ENSG00000125846	4060	40.41
268	ENSG00000125863	6714	38.18
15153	ENSG00000125864	2207	44.74
14816	ENSG00000125868	3617	39.56
1454	ENSG00000125869	2039	42.77
7364	ENSG00000125870	2452	38.18
11548	ENSG00000125871	2336	42.82
14255	ENSG00000125875	5195	46.39
17333	ENSG00000125877	1185	50.89
7344	ENSG00000125885	7486	39.4
18090	ENSG00000125895	1730	55.74
12460	ENSG00000125898	1856	51.88
9741	ENSG00000125900	1958	40.5
9530	ENSG00000125901	1127	61.08
15900	ENSG00000125910	1565	62.76
13425	ENSG00000125912	4005	60.96
6292	ENSG00000125944	7646	38.85
5876	ENSG00000125945	4071	46
4739	ENSG00000125952	3155	44.69
11991	ENSG00000125962	4640	45.27
4898	ENSG00000125966	4414	49.16
13019	ENSG00000125967	2142	59.54
16701	ENSG00000125968	1233	58.56
7624	ENSG00000125970	6430	44.86
16208	ENSG00000125971	1464	48.33
7611	ENSG00000125977	2656	42.27
11495	ENSG00000125991	2846	50.94
9098	ENSG00000125995	498	50.26
13494	ENSG00000126001	15703	47.9
6672	ENSG00000126003	5705	48.56
1235	ENSG00000126005	1542	47.16
17392	ENSG00000126010	1929	38.83
6200	ENSG00000126012	6096	48.11
11348	ENSG00000126016	7319	41.97
7791	ENSG00000126062	2197	57.53
6862	ENSG00000126067	4217	41.1
8832	ENSG00000126070	19687	38.75
7088	ENSG00000126088	1848	52.29
5803	ENSG00000126091	4776	44.35
7142	ENSG00000126106	2310	51.56
6351	ENSG00000126107	3610	56.66
1609	ENSG00000126214	15091	49.58
1052	ENSG00000126215	3668	59.79
8335	ENSG00000126216	3899	42.87
9422	ENSG00000126217	6580	54.36
2351	ENSG00000126226	4202	43.4
15379	ENSG00000126243	3689	56.91
17753	ENSG00000126246	1645	57.9
15812	ENSG00000126247	1918	54.14
15131	ENSG00000126249	1227	45.07
15815	ENSG00000126254	1680	53.79
11200	ENSG00000126261	4023	42.17
2668	ENSG00000126262	2133	49.69
16559	ENSG00000126264	613	58.69
11198	ENSG00000126266	2311	57.68
12505	ENSG00000126267	667	49.06
135	ENSG00000126351	4895	54.9
16969	ENSG00000126353	2173	53.29
127	ENSG00000126368	2772	56.78
6268	ENSG00000126391	3723	56.27
12506	ENSG00000126432	893	57.55
14236	ENSG00000126453	1854	54.34
14292	ENSG00000126456	2874	57.17
10206	ENSG00000126457	1686	58.23
13444	ENSG00000126458	1044	59.1
598	ENSG00000126460	1583	53.58
13508	ENSG00000126461	4306	58.2
13231	ENSG00000126464	6955	55.5
17017	ENSG00000126467	1883	51.36
7924	ENSG00000126522	2143	54.6
6478	ENSG00000126524	1631	42.81
8644	ENSG00000126561	4301	54.63
9685	ENSG00000126581	4865	44.97
12858	ENSG00000126602	2309	50.88
6427	ENSG00000126603	4469	62.05
1561	ENSG00000126653	2541	38.57
226	ENSG00000126698	1759	43.16
2402	ENSG00000126705	6438	56.39
2179	ENSG00000126709	841	50.03
17774	ENSG00000126746	3266	46.35
12868	ENSG00000126749	4898	48.3
17572	ENSG00000126756	894	44.96
9562	ENSG00000126759	4040	55.37
17509	ENSG00000126767	2695	49.22
581	ENSG00000126768	1528	52.95
11026	ENSG00000126773	17339	37.99
17862	ENSG00000126775	4742	41.79
4762	ENSG00000126777	6241	37.04
9116	ENSG00000126787	2973	39.11
16101	ENSG00000126790	1527	42.53
3767	ENSG00000126803	5400	45.54
3754	ENSG00000126804	4119	39.55
13558	ENSG00000126814	5573	37.97
8221	ENSG00000126821	3312	39.66
10706	ENSG00000126822	10351	52.94
14806	ENSG00000126838	4610	38.19
13091	ENSG00000126858	3297	42.18
17035	ENSG00000126860	1860	33.34
17247	ENSG00000126861	2965	38.2
5461	ENSG00000126870	5410	46.03
17434	ENSG00000126882	4560	53.88
10462	ENSG00000126883	7600	42.09
18010	ENSG00000126895	1784	62.86
10988	ENSG00000126903	2161	60.86
10488	ENSG00000126934	2926	57.42
8723	ENSG00000126945	2223	39.49
5469	ENSG00000126947	2141	48.99
3286	ENSG00000126953	2960	45.87
11869	ENSG00000126970	4147	39.24
6319	ENSG00000127022	4260	45.8
10008	ENSG00000127054	3079	60.46
2660	ENSG00000127074	5119	35.72
5660	ENSG00000127080	4401	47.93
9610	ENSG00000127081	4031	39.28
5624	ENSG00000127083	2449	36.07
7527	ENSG00000127084	4697	49.46
1136	ENSG00000127124	12319	46.45
3905	ENSG00000127125	1617	42.3
4390	ENSG00000127152	7603	50.77
14428	ENSG00000127184	1584	42.27
12969	ENSG00000127191	2264	55.12
18190	ENSG00000127220	2090	54.9
6031	ENSG00000127249	4208	38.91
3222	ENSG00000127311	12866	39.01
2469	ENSG00000127314	13438	38.96
1412	ENSG00000127318	1168	39.9
1598	ENSG00000127328	9646	38.33
9656	ENSG00000127329	12316	39.77
4946	ENSG00000127334	8912	43.53
3404	ENSG00000127337	1434	39.36
5678	ENSG00000127364	2378	41.46
4194	ENSG00000127366	1151	48.39
15214	ENSG00000127399	1877	54.13
15228	ENSG00000127412	2952	45.83
5664	ENSG00000127415	2185	65.45
7324	ENSG00000127418	3639	66.74
8582	ENSG00000127419	2236	51.83
6395	ENSG00000127423	2116	42.54
6400	ENSG00000127445	4022	56.31
4640	ENSG00000127452	1920	50.56
5638	ENSG00000127463	6664	46.63
6809	ENSG00000127481	15906	43.74
2227	ENSG00000127483	4822	41.17
9022	ENSG00000127507	6767	46.71
18112	ENSG00000127511	5129	52.98
10134	ENSG00000127526	5099	50.12
13788	ENSG00000127527	3915	50.79
13037	ENSG00000127528	2018	65.53
11287	ENSG00000127540	1324	56.38
9590	ENSG00000127554	2345	60.99
15822	ENSG00000127561	2051	66.55
1266	ENSG00000127564	2308	62.22
7941	ENSG00000127580	3245	63.87
12638	ENSG00000127585	3547	64.27
15453	ENSG00000127586	4494	66.52
2258	ENSG00000127603	24828	42.57
16467	ENSG00000127616	5791	52.5
7707	ENSG00000127663	5703	57.26
12106	ENSG00000127666	2676	52.43
1228	ENSG00000127720	2093	35.3
13051	ENSG00000127774	762	59.6
14465	ENSG00000127804	5711	44.67
7595	ENSG00000127824	2499	49.79
17739	ENSG00000127831	6531	50.01
13042	ENSG00000127837	2270	56.53
13413	ENSG00000127838	3021	51.32
11821	ENSG00000127870	3706	40.18
6692	ENSG00000127884	1617	56.3
8307	ENSG00000127914	12471	36.72
10202	ENSG00000127920	3055	38.43
16128	ENSG00000127922	2773	37.66
15616	ENSG00000127946	8013	48.34
16847	ENSG00000127947	3406	38.16
12372	ENSG00000127948	2532	50.98
10629	ENSG00000127951	4261	35.72
13438	ENSG00000127952	1570	48.42
16824	ENSG00000127954	9988	37.87
3196	ENSG00000127955	3347	36.74
15343	ENSG00000127957	1490	42.92
801	ENSG00000127980	5333	37.11
8022	ENSG00000127989	3882	38.41
17788	ENSG00000127990	6270	35.35
3069	ENSG00000127993	4093	39.51
18180	ENSG00000127995	3942	34.66
8500	ENSG00000128000	8665	39.65
3825	ENSG00000128011	3381	57.24
13116	ENSG00000128016	1786	59.08
4486	ENSG00000128039	4190	44.77
4415	ENSG00000128040	763	44.64
5234	ENSG00000128045	1995	47.73
2889	ENSG00000128050	6480	39.99
3537	ENSG00000128059	4043	37.44
2818	ENSG00000128159	6078	56.93
2732	ENSG00000128165	4276	63.64
1183	ENSG00000128185	1154	57.73
2058	ENSG00000128191	4695	52.21
9475	ENSG00000128203	3357	49.48
14995	ENSG00000128218	610	56.43
11223	ENSG00000128228	865	62.46
4817	ENSG00000128245	1879	45.04
2062	ENSG00000128253	2407	48.64
4819	ENSG00000128254	1247	52.77
10638	ENSG00000128266	3333	57.44
6550	ENSG00000128268	5062	56.74
7658	ENSG00000128271	2736	59.24
9434	ENSG00000128272	2019	58.94
5776	ENSG00000128283	2181	58.87
1222	ENSG00000128284	3626	47.21
11635	ENSG00000128294	5697	48.48
10429	ENSG00000128298	2146	53.59
12301	ENSG00000128309	5872	55.28
5254	ENSG00000128311	1797	57.04
91	ENSG00000128335	2685	49.59
2669	ENSG00000128340	1482	57.65
14680	ENSG00000128342	3969	58.74
9611	ENSG00000128346	1777	50.35
4692	ENSG00000128383	1478	53.24
4493	ENSG00000128394	2694	53.89
5465	ENSG00000128408	1479	50.33
4696	ENSG00000128438	4838	60.38
17882	ENSG00000128463	2019	43.89
8949	ENSG00000128487	8133	42.5
7823	ENSG00000128512	7997	39.18
15519	ENSG00000128513	4080	34.37
6233	ENSG00000128524	711	52.57
1224	ENSG00000128534	4030	36.89
14491	ENSG00000128536	3813	43.76
322	ENSG00000128563	3430	46.23
2154	ENSG00000128567	6170	50.47
3461	ENSG00000128573	8301	34.83
585	ENSG00000128578	5115	43.81
789	ENSG00000128581	2272	49.56
4124	ENSG00000128585	11156	39.28
2588	ENSG00000128590	2715	38.78
4281	ENSG00000128594	3828	56.07
8747	ENSG00000128595	4225	39.99
4653	ENSG00000128596	4169	48.94
2132	ENSG00000128604	2988	56.34
1076	ENSG00000128607	6437	40.14
17972	ENSG00000128609	5608	35.76
207	ENSG00000128626	1220	55.6
12934	ENSG00000128641	5082	39.67
10419	ENSG00000128654	1592	35.02
609	ENSG00000128656	2447	37.22
12130	ENSG00000128694	2216	39.12
10895	ENSG00000128699	2692	37.58
15844	ENSG00000128708	3845	39.93
14467	ENSG00000128731	15337	43.74
906	ENSG00000128739	1940	41.92
18152	ENSG00000128789	1686	42.01
11432	ENSG00000128791	3756	38.45
4708	ENSG00000128805	2764	47.75
2518	ENSG00000128815	10079	45.39
10540	ENSG00000128829	5499	40.17
4492	ENSG00000128833	6971	45.57
13281	ENSG00000128849	7224	43.81
15003	ENSG00000128872	9191	41.52
1418	ENSG00000128881	10905	39.87
11798	ENSG00000128886	2352	51.92
15910	ENSG00000128891	6131	45.99
12728	ENSG00000128908	6439	42.26
1511	ENSG00000128915	7209	36.91
10598	ENSG00000128918	4098	41.16
17277	ENSG00000128923	9238	39.89
9886	ENSG00000128928	4251	50.9
15166	ENSG00000128944	1899	44.95
8126	ENSG00000128951	2147	39.96
14866	ENSG00000128965	1849	57.9
496	ENSG00000128973	3335	47.26
3913	ENSG00000128989	5362	38.46
15853	ENSG00000129003	14579	34.88
467	ENSG00000129007	4603	50.69
7341	ENSG00000129028	2399	37.21
14932	ENSG00000129038	2786	55.02
2865	ENSG00000129048	1914	37.17
1162	ENSG00000129055	1840	45.33
3390	ENSG00000129071	2478	39.9
1719	ENSG00000129083	3481	38.27
7923	ENSG00000129084	1527	40.21
7052	ENSG00000129103	2052	49.29
5910	ENSG00000129116	5809	39.87
5401	ENSG00000129128	4571	36.77
17648	ENSG00000129151	1886	37.38
415	ENSG00000129158	1566	42.67
409	ENSG00000129167	5325	37.03
14232	ENSG00000129173	3519	41.92
4438	ENSG00000129187	1972	46.1
7140	ENSG00000129197	3817	45.35
8751	ENSG00000129204	8464	46.42
9450	ENSG00000129214	1382	51.5
4821	ENSG00000129219	3503	54.27
15175	ENSG00000129226	1878	55.84
11978	ENSG00000129235	2219	42.73
5685	ENSG00000129244	3153	54.22
15603	ENSG00000129245	2957	48.07
4825	ENSG00000129250	7919	53.87
12747	ENSG00000129255	1645	56.21
16382	ENSG00000129292	7822	34.77
16276	ENSG00000129295	1878	39.07
2891	ENSG00000129315	6973	40.95
4992	ENSG00000129317	13593	35.9
17428	ENSG00000129347	3744	55.09
14721	ENSG00000129351	6119	50.9
11684	ENSG00000129353	3784	51.73
11286	ENSG00000129354	1757	51.96
7408	ENSG00000129355	1422	58.55
2768	ENSG00000129422	6256	40.89
9767	ENSG00000129450	1960	47.77
6472	ENSG00000129460	2763	42.99
8977	ENSG00000129465	1930	55.93
10950	ENSG00000129467	5276	54.43
5458	ENSG00000129472	2928	41.19
9290	ENSG00000129473	3605	51.4
16046	ENSG00000129474	4262	52.93
13780	ENSG00000129480	2717	38.52
2811	ENSG00000129484	1980	42.36
13782	ENSG00000129493	7840	39.35
17388	ENSG00000129515	3398	44.34
17832	ENSG00000129518	1321	44.09
15964	ENSG00000129521	2849	41.68
15700	ENSG00000129534	4777	37.65
17184	ENSG00000129535	2103	49.83
10532	ENSG00000129538	1348	50.95
17094	ENSG00000129559	2300	43.63
13224	ENSG00000129562	731	41.95
1156	ENSG00000129566	10695	47.41
12555	ENSG00000129595	4707	39.29
17479	ENSG00000129625	3326	41.72
15233	ENSG00000129636	3400	37.51
11850	ENSG00000129646	5677	53.1
12249	ENSG00000129654	2641	63.84
7274	ENSG00000129657	5295	46.75
11182	ENSG00000129667	3599	57.78
7728	ENSG00000129673	1913	53.01
16141	ENSG00000129675	6019	39.77
16881	ENSG00000129680	4567	40.66
17942	ENSG00000129682	19519	39.07
13326	ENSG00000129691	3090	42.99
1206	ENSG00000129696	2516	42.98
14182	ENSG00000129749	1945	56.26
13016	ENSG00000129757	1936	67.55
8405	ENSG00000129824	1305	40.56
8390	ENSG00000129911	2890	65.43
17748	ENSG00000129925	3691	61.61
3586	ENSG00000129932	2031	56.59
13851	ENSG00000129933	4994	54.38
10421	ENSG00000129946	2494	58.69
14734	ENSG00000129968	5425	65.16
8552	ENSG00000129993	4477	60.67
16708	ENSG00000130005	1769	64.25
9080	ENSG00000130021	2140	43.76
12649	ENSG00000130023	2206	43.29
15167	ENSG00000130024	4395	39.5
11471	ENSG00000130035	5977	43.83
6071	ENSG00000130038	7554	45.71
15374	ENSG00000130052	4864	50.28
17220	ENSG00000130066	1135	43.75
511	ENSG00000130119	2357	47.94
6187	ENSG00000130147	5231	50.77
14022	ENSG00000130150	4163	36.08
17978	ENSG00000130158	6358	53.76
5488	ENSG00000130159	1700	50.87
12905	ENSG00000130164	5337	51.08
2276	ENSG00000130165	2154	55.91
15251	ENSG00000130167	1040	48.68
3612	ENSG00000130175	2209	56.85
1057	ENSG00000130177	2211	41.32
8169	ENSG00000130193	2279	52.84
5209	ENSG00000130202	2466	52.84
1699	ENSG00000130203	1208	60.96
11518	ENSG00000130204	3415	56.25
9879	ENSG00000130208	689	53.46
14934	ENSG00000130222	1065	66.23
15271	ENSG00000130227	4861	39.92
14778	ENSG00000130244	4133	54.79
4208	ENSG00000130254	3371	49.34
780	ENSG00000130255	907	58.81
6873	ENSG00000130270	5237	58.09
17886	ENSG00000130299	2917	56.97
9026	ENSG00000130303	1019	58.38
9754	ENSG00000130304	4343	53.88
7944	ENSG00000130305	2286	53.93
6004	ENSG00000130309	3704	52.86
18187	ENSG00000130311	4078	56.15
15917	ENSG00000130312	968	54.25
11735	ENSG00000130313	1601	53.32
16838	ENSG00000130332	710	57.71
1975	ENSG00000130338	11295	43.15
10835	ENSG00000130340	4198	42.45
17047	ENSG00000130347	1682	41.03
17355	ENSG00000130348	4106	39.53
11685	ENSG00000130349	1420	47.04
510	ENSG00000130363	6561	39.75
17228	ENSG00000130377	2759	45.82
11694	ENSG00000130382	4507	55.57
7948	ENSG00000130396	7593	38.79
8807	ENSG00000130402	4963	53.01
11760	ENSG00000130413	4677	37.65
13878	ENSG00000130414	4915	48.44
12504	ENSG00000130429	1770	55.99
10610	ENSG00000130449	5501	38.17
11211	ENSG00000130475	3214	53.75
770	ENSG00000130479	3419	57.53
825	ENSG00000130487	2990	64.25
4770	ENSG00000130489	992	63.66
16905	ENSG00000130508	6808	49.9
12422	ENSG00000130511	1768	64.53
17255	ENSG00000130513	1200	51.93
17734	ENSG00000130517	7092	51.32
6947	ENSG00000130518	5520	55.8
17486	ENSG00000130520	1908	56.37
17415	ENSG00000130522	1863	69.67
9532	ENSG00000130529	4109	50.3
3736	ENSG00000130540	2561	56.02
13971	ENSG00000130544	5736	45.81
6511	ENSG00000130558	2624	55.24
730	ENSG00000130559	7696	46.91
153	ENSG00000130560	1867	51.82
6369	ENSG00000130561	6659	48.72
12944	ENSG00000130584	5198	53.89
14274	ENSG00000130589	8064	66.08
13115	ENSG00000130590	2181	61.55
16784	ENSG00000130592	2640	61.64
16855	ENSG00000130595	1258	61.19
17032	ENSG00000130598	745	65.12
12095	ENSG00000130635	8471	56
2278	ENSG00000130638	3329	40.57
8371	ENSG00000130640	4302	55.72
9431	ENSG00000130649	7918	45.85
14444	ENSG00000130653	5308	54.81
5356	ENSG00000130669	5735	56.17
16400	ENSG00000130684	3613	42.68
2814	ENSG00000130695	4061	44.77
8344	ENSG00000130699	4628	52.35
16636	ENSG00000130702	11426	61.89
14382	ENSG00000130703	4670	52.75
16677	ENSG00000130706	1530	64.09
13304	ENSG00000130707	1973	55.65
14063	ENSG00000130713	2766	47.74
13777	ENSG00000130714	3420	53.31
13748	ENSG00000130717	2237	57.27
13235	ENSG00000130723	11042	49.11
12736	ENSG00000130724	1178	54.26
18148	ENSG00000130725	1508	61.71
9947	ENSG00000130726	2960	59.3
10353	ENSG00000130731	1710	67.84
11986	ENSG00000130733	2087	58.8
17476	ENSG00000130734	1949	55.3
9491	ENSG00000130741	2858	41.58
1706	ENSG00000130748	663	61.6
11040	ENSG00000130749	6119	51.95
3387	ENSG00000130755	1028	51.1
991	ENSG00000130758	3436	52.96
17185	ENSG00000130764	4310	54.71
373	ENSG00000130766	3453	50.06
1116	ENSG00000130768	1913	49.86
231	ENSG00000130770	1855	44.37
377	ENSG00000130772	1833	46.05
5424	ENSG00000130775	2861	54.04
8754	ENSG00000130779	5913	43.88
8717	ENSG00000130783	3546	44.81
3091	ENSG00000130787	4539	59.16
2275	ENSG00000130803	4186	44.48
472	ENSG00000130810	1657	58.7
484	ENSG00000130811	1522	59.24
229	ENSG00000130812	1900	53.5
232	ENSG00000130813	2140	56.65
5333	ENSG00000130816	5408	50.43
11751	ENSG00000130818	7085	43.51
10305	ENSG00000130821	3763	64.7
8734	ENSG00000130826	3079	45.62
6644	ENSG00000130827	10885	60.44
739	ENSG00000130830	2378	41.68
12280	ENSG00000130844	5042	44.28
6705	ENSG00000130856	8206	42.43
12941	ENSG00000130881	3807	54.69
4083	ENSG00000130921	3733	47.41
16563	ENSG00000130935	2947	40.57
4353	ENSG00000130939	5267	44.12
7401	ENSG00000130940	7936	56.73
277	ENSG00000130943	7693	47.6
8314	ENSG00000130956	3150	43.78
9701	ENSG00000130958	1613	43.92
13916	ENSG00000130962	4600	37.92
13433	ENSG00000130985	3559	51.31
17918	ENSG00000130997	3978	43.94
931	ENSG00000131002	7299	36.42
12093	ENSG00000131013	2232	38.44
1549	ENSG00000131015	1349	52.92
4397	ENSG00000131016	8432	43.87
408	ENSG00000131018	27748	38.41
5092	ENSG00000131023	7517	41.22
1128	ENSG00000131037	2536	58.26
10989	ENSG00000131042	2819	57.71
8777	ENSG00000131043	2689	47.41
16109	ENSG00000131051	5914	40.28
10582	ENSG00000131061	3661	49.23
5706	ENSG00000131067	2642	49.05
5592	ENSG00000131069	3065	45.42
10491	ENSG00000131080	3464	39.73
15655	ENSG00000131089	5682	40.8
3460	ENSG00000131097	635	52.42
10200	ENSG00000131100	1402	45.05
4934	ENSG00000131115	3055	41.09
15380	ENSG00000131116	1412	52.67
4689	ENSG00000131127	2970	40.31
882	ENSG00000131143	3946	50.84
3111	ENSG00000131148	1962	48.89
11160	ENSG00000131149	7495	56.58
9242	ENSG00000131153	2673	49.77
16668	ENSG00000131165	2483	58.66
17574	ENSG00000131171	1923	37.49
13957	ENSG00000131174	2471	40.81
6366	ENSG00000131183	2916	54.73
2334	ENSG00000131187	2049	57.9
2342	ENSG00000131188	1480	62.31
4966	ENSG00000131196	4819	56.87
2614	ENSG00000131203	2097	38.9
2729	ENSG00000131236	3105	43.27
2443	ENSG00000131238	4010	44.02
8127	ENSG00000131242	8628	51.38
15219	ENSG00000131263	8317	38.47
6620	ENSG00000131269	4146	36.02
302	ENSG00000131323	7700	45.83
6857	ENSG00000131351	3176	49.64
9884	ENSG00000131355	2267	43.9
15205	ENSG00000131368	4586	47.97
881	ENSG00000131370	2822	46.74
10231	ENSG00000131373	2266	39.06
12371	ENSG00000131374	7854	37.62
6463	ENSG00000131375	4353	37.11
8276	ENSG00000131378	2982	43.5
9029	ENSG00000131379	3326	44.01
9428	ENSG00000131381	6678	44.4
7357	ENSG00000131389	6528	52.21
17163	ENSG00000131398	5447	59.36
17078	ENSG00000131400	3288	52.43
17068	ENSG00000131401	1343	49.41
17097	ENSG00000131408	2380	51.27
946	ENSG00000131435	2282	56.99
16553	ENSG00000131437	6325	36.68
15524	ENSG00000131446	8863	50.9
15570	ENSG00000131459	3093	51.26
14988	ENSG00000131462	1611	53.1
10766	ENSG00000131467	3366	46.04
2525	ENSG00000131469	1872	49.84
15922	ENSG00000131470	1416	48.67
5541	ENSG00000131471	4026	54.35
17798	ENSG00000131473	4339	49.89
6645	ENSG00000131475	1101	49.25
8566	ENSG00000131480	2657	52.49
14763	ENSG00000131495	804	50.9
8921	ENSG00000131503	8221	38.44
1402	ENSG00000131504	5843	41.24
15106	ENSG00000131507	4164	39.29
14874	ENSG00000131508	2702	44.35
3033	ENSG00000131558	4185	38.3
15101	ENSG00000131584	5319	67.3
13656	ENSG00000131591	3315	54.65
12613	ENSG00000131626	5996	45.09
8926	ENSG00000131634	1938	58.04
1643	ENSG00000131652	1419	57.25
4801	ENSG00000131653	3700	63.76
16230	ENSG00000131669	2026	59.68
3489	ENSG00000131686	1493	48.06
17928	ENSG00000131697	5548	49.94
1841	ENSG00000131711	12036	42.29
12647	ENSG00000131724	4036	40.36
18151	ENSG00000131725	4111	39.07
15162	ENSG00000131730	1637	44.39
15528	ENSG00000131732	4606	38.15
17544	ENSG00000131746	4067	52.86
11336	ENSG00000131747	5758	39.83
8735	ENSG00000131748	3451	54.9
9556	ENSG00000131759	3041	56.99
2554	ENSG00000131773	5466	38.22
3040	ENSG00000131778	2967	40.27
2315	ENSG00000131779	1740	45.5
7264	ENSG00000131781	2632	40.77
2230	ENSG00000131788	2901	52.28
6354	ENSG00000131791	5417	39.83
13417	ENSG00000131797	4117	55.17
18162	ENSG00000131828	3484	44.45
13989	ENSG00000131831	2421	45.61
604	ENSG00000131844	3665	41.2
11781	ENSG00000131845	4313	47.4
4536	ENSG00000131848	3562	44.09
16971	ENSG00000131849	3031	48.36
8124	ENSG00000131871	2444	45.06
12655	ENSG00000131873	4550	43.36
6855	ENSG00000131876	2440	42.28
16477	ENSG00000131899	6004	59.89
291	ENSG00000131914	4008	46.58
13527	ENSG00000131931	2161	41.03
15339	ENSG00000131941	3793	48.33
17633	ENSG00000131943	4489	50.38
9509	ENSG00000131944	2298	49.22
1615	ENSG00000131966	2419	38.67
16363	ENSG00000131969	2863	42.81
17582	ENSG00000131979	2943	42.22
8243	ENSG00000131981	1734	44.62
2591	ENSG00000132000	3331	54.14
12551	ENSG00000132002	2264	52.02
8867	ENSG00000132003	4339	53.53
6548	ENSG00000132004	1738	56.55
9170	ENSG00000132005	4332	56.3
11266	ENSG00000132010	3061	44.01
6417	ENSG00000132017	2278	59.89
9616	ENSG00000132024	3581	53.88
12457	ENSG00000132109	1924	46.36
5877	ENSG00000132122	4973	37.04
1130	ENSG00000132128	4455	47.41
15843	ENSG00000132141	3353	39.87
14897	ENSG00000132153	4065	50.03
663	ENSG00000132155	3300	42.69
1443	ENSG00000132170	2029	38.71
15757	ENSG00000132182	7193	52.6
7841	ENSG00000132185	2903	46.05
11149	ENSG00000132196	2541	39.34
10265	ENSG00000132199	6340	46.1
7348	ENSG00000132205	5910	47.46
3106	ENSG00000132254	3846	52.8
3670	ENSG00000132256	3170	37.61
7847	ENSG00000132274	2989	38.58
6985	ENSG00000132275	6560	47.4
5493	ENSG00000132286	2840	47.6
10651	ENSG00000132294	5438	35.32
8791	ENSG00000132300	6734	41.22
14054	ENSG00000132305	3001	41.41
9591	ENSG00000132313	3727	40.87
4058	ENSG00000132321	3336	42.77
5787	ENSG00000132323	2651	44.85
4784	ENSG00000132326	6385	52.1
5248	ENSG00000132329	910	52.41
969	ENSG00000132330	5668	46.25
1612	ENSG00000132334	5736	47.89
1160	ENSG00000132341	2661	45.79
11181	ENSG00000132356	5088	37.74
929	ENSG00000132357	4221	42.1
15412	ENSG00000132359	6661	51.49
10117	ENSG00000132361	5244	62.54
17237	ENSG00000132376	3194	53.88
16029	ENSG00000132382	4807	59.89
1747	ENSG00000132383	4340	44.49
11836	ENSG00000132386	1548	53.48
16501	ENSG00000132388	3974	41.77
411	ENSG00000132394	2232	47.87
15623	ENSG00000132405	4925	49.5
15867	ENSG00000132406	1737	41.69
14622	ENSG00000132423	1335	39.36
12594	ENSG00000132424	5112	36
4581	ENSG00000132432	1227	39.24
5955	ENSG00000132434	4353	42.91
4551	ENSG00000132436	3700	43.84
3548	ENSG00000132437	2041	44.42
7614	ENSG00000132463	6666	43.53
16629	ENSG00000132464	5679	38.1
16634	ENSG00000132465	1438	37.02
